"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rp1",1382.54473017258,2.33801804252616,0.135112944650322,17.3041750261387,4.3750292792877e-67,3.38906907263585e-65
"St18",15.3551749801629,-2.04482905104621,0.861918594994677,-2.37241551919278,0.0176722039850209,0.0348664673082439
"Tcf24",371.023779358412,2.5266514348053,0.218501581093387,11.5635384520417,6.30558158275191e-31,1.29986666701777e-29
"Ppp1r42",168.067207671257,2.31384463839442,0.237655949652185,9.73611071711345,2.11494399351683e-22,2.91858386910661e-21
"4930444P10Rik",515.790999744695,2.29649937065568,0.174186544560617,13.184137594833,1.08285195835435e-39,3.17214409944427e-38
"Pi15",49.6206108976846,-2.54424979282646,0.398836399319359,-6.37918153199756,1.78036900189699e-10,1.12749200844956e-09
"Pkhd1",77.7059058406388,1.76268732502089,0.363404264153397,4.85048608091412,1.23159276937743e-06,5.10435083789409e-06
"Efhc1",2142.8949078118,2.24228853656431,0.0869906557142941,25.7761999625422,1.63957804387496e-146,1.36886549129739e-143
"Neurl3",377.526288438054,-2.03831937540881,0.207528831762998,-9.8218611751094,9.06541371772476e-23,1.28160900611447e-21
"Zap70",59.3050182753398,1.9809467376481,0.415707552615645,4.76524115374841,1.8862791001635e-06,7.65928190144747e-06
"Vwa3b",705.322772250626,2.21979888558519,0.165852377176917,13.3841849201673,7.48135702127904e-41,2.29917859541475e-39
"4930556I23Rik",25.0925250495956,2.07470237399084,0.567827568835724,3.6537542166979,0.000258433666121726,0.000757212153339307
"Tsga10",1259.62664820154,1.69161992033585,0.109631667837912,15.4300299694143,1.02822456219282e-53,5.06628154774876e-52
"Creg2",183.439440499964,2.82510128107703,0.287947166416966,9.81117930845029,1.00783735980737e-22,1.42080486333819e-21
"Il18r1",3625.90137371986,1.9806640592698,0.109045404492179,18.1636637370799,1.00114940066751e-73,9.89820604817848e-72
"Fhl2",793.060151551604,1.9827456274439,0.109328223219043,18.1357161862167,1.66515589605489e-73,1.62493264973461e-71
"Ecrg4",406.704346164921,3.57711198386174,0.20316525857714,17.6069078390366,2.18035292979561e-69,1.83052200161835e-67
"Dnah7b",445.444015574063,2.09765848031775,0.166886812446887,12.569348347913,3.11279009717644e-36,7.90185972641344e-35
"Dnah7c",325.903328178989,2.42432908420993,0.254906018316661,9.51067809312478,1.89423706501918e-21,2.48183039347064e-20
"Dnah7a",141.127170043708,2.28874978826042,0.386466099624849,5.92225240579228,3.17561710677087e-09,1.76949105971645e-08
"Ccdc150",134.815626833975,2.01400740372124,0.291816019483157,6.90163414362344,5.14076943505823e-12,3.69290072036592e-11
"Ankrd44",434.348075049812,1.70143171799971,0.167136121840929,10.1799162219346,2.43771156315132e-24,3.78449683585104e-23
"Plcl1",36.9337709031985,-2.59407491806228,0.550952536264307,-4.70834554216089,2.49735495627377e-06,1.00080667421019e-05
"Gm973",1749.70188130438,2.57572766162618,0.121987947744263,21.1146077071972,5.83928201514572e-99,1.25361043033728e-96
"D430013B06Rik",32.8572146080865,1.53667236543666,0.486613631079101,3.15789009450676,0.00158915458804231,0.00400567177945316
"Nrp2",284.02067887863,-1.9788237981502,0.241182766932116,-8.20466496558257,2.31234810456036e-16,2.26236766375867e-15
"Mdh1b",751.050863350826,2.23503869390894,0.157815308249295,14.1623694095527,1.56622885127424e-45,5.74080175047543e-44
"Spag16",451.148271009236,4.02332718023166,0.347476469203209,11.5787039895319,5.28388266844339e-31,1.09374915621718e-29
"Fn1",19248.5345503228,3.7496413063447,0.262467034542461,14.2861419259038,2.66996749810547e-46,1.00814752667158e-44
"Marchf4",521.149574210882,2.36837172014828,0.14471041366585,16.3662839470356,3.32931510199704e-60,2.03385964848828e-58
"Igfbp2",881.693280689427,3.96261058194505,0.748936491145744,5.29098345292661,1.21660374426513e-07,5.688587762544e-07
