initial_alias,converted_alias,name,description,namespace
ENSMUSG00000051951,ENSMUSG00000051951,Xkr4,X-linked Kx blood group related 4 [Source:MGI Symbol;Acc:MGI:3528744],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102343,ENSMUSG00000102343,Gm37381,"predicted gene, 37381 [Source:MGI Symbol;Acc:MGI:5610609]","ARRAYEXPRESS,ENSG"
ENSMUSG00000025900,ENSMUSG00000025900,Rp1,retinitis pigmentosa 1 (human) [Source:MGI Symbol;Acc:MGI:1341105],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102948,ENSMUSG00000102948,Gm6101,predicted gene 6101 [Source:MGI Symbol;Acc:MGI:3644986],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102269,ENSMUSG00000102269,Gm7357,predicted gene 7357 [Source:MGI Symbol;Acc:MGI:3643257],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104328,ENSMUSG00000104328,Gm37323,"predicted gene, 37323 [Source:MGI Symbol;Acc:MGI:5610551]","ARRAYEXPRESS,ENSG"
ENSMUSG00000098104,ENSMUSG00000098104,Gm6085,predicted gene 6085 [Source:MGI Symbol;Acc:MGI:3646770],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102175,ENSMUSG00000102175,Gm6119,predicted gene 6119 [Source:MGI Symbol;Acc:MGI:3644547],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103922,ENSMUSG00000103922,Gm6123,predicted gene 6123 [Source:MGI Symbol;Acc:MGI:3647047],"ARRAYEXPRESS,ENSG"
ENSMUSG00000033845,ENSMUSG00000033845,Mrpl15,mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102275,ENSMUSG00000102275,Gm37144,"predicted gene, 37144 [Source:MGI Symbol;Acc:MGI:5610372]","ARRAYEXPRESS,ENSG"
ENSMUSG00000025903,ENSMUSG00000025903,Lypla1,lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588],"ARRAYEXPRESS,ENSG"
ENSMUSG00000033813,ENSMUSG00000033813,Tcea1,transcription elongation factor A (SII) 1 [Source:MGI Symbol;Acc:MGI:1196624],"ARRAYEXPRESS,ENSG"
ENSMUSG00000062588,ENSMUSG00000062588,Gm6104,predicted gene 6104 [Source:MGI Symbol;Acc:MGI:3648587],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103280,ENSMUSG00000103280,Gm37277,"predicted gene, 37277 [Source:MGI Symbol;Acc:MGI:5610505]","ARRAYEXPRESS,ENSG"
ENSMUSG00000002459,ENSMUSG00000002459,Rgs20,regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866],"ARRAYEXPRESS,ENSG"
ENSMUSG00000085623,ENSMUSG00000085623,Gm16041,predicted gene 16041 [Source:MGI Symbol;Acc:MGI:3801909],"ARRAYEXPRESS,ENSG"
ENSMUSG00000033793,ENSMUSG00000033793,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102907,ENSMUSG00000102907,Gm38264,"predicted gene, 38264 [Source:MGI Symbol;Acc:MGI:5611492]","ARRAYEXPRESS,ENSG"
